Name,Gender,Race
Haizhou Li,male,A
Chin-Yew Lin,male,A
Miles Osborne,male,W_NL
Gary Geunbae Lee,male,W_NL
Jong C. Park,male,A
Kevin Duh,male,A
Katsuhito Sudoh,male,A
Xianchao Wu,male,A
Hajime Tsukada,male,A
Masaaki Nagata,female,A
Patrick Simianer,male,W_NL
Stefan Riezler,male,W_NL
Chris Dyer,male,W_NL
Prasanth Kolachina,male,A
Nicola Cancedda,female,HL
Marc Dymetman,male,W_NL
Sriram Venkatapathy,male,A
Khe Chai Sim,male,A
Chia-ying Lee,female,A
James Glass,male,W_NL
Xingyuan Peng,male,A
Dengfeng Ke,male,A
Bo Xu,male,A
Vanessa Wei Feng,female,A
Graeme Hirst,male,W_NL
Yuping Zhou,female,A
Nianwen Xue,female,A
Viet-An Nguyen,female,A
Jordan Boyd-Graber,male,W_NL
Philip Resnik,male,W_NL
Oleksandr Kolomiyets,male,W_NL
Steven Bethard,male,W_NL
Marie-Francine Moens,female,W_NL
Nathanael Chambers,male,B_NL
Guillermo Garrido,male,HL
Anselmo Peñas,male,HL
Bernardo Cabaleiro,male,HL
Álvaro Rodrigo,male,HL
Jonathan Berant,male,W_NL
Ido Dagan,male,A
Meni Adler,female,W_NL
Jacob Goldberger,male,W_NL
S.R.K. Branavan,male,W_NL
Nate Kushman,male,W_NL
Tao Lei,male,A
Regina Barzilay,female,W_NL
Elia Bruni,female,HL
Gemma Boleda,female,HL
Marco Baroni,male,HL
Nam-Khanh Tran,female,A
Spence Green,male,B_NL
John DeNero,male,W_NL
Malte Nuhn,male,W_NL
Arne Mauser,male,W_NL
Hermann Ney,male,W_NL
Graham Neubig,male,W_NL
Taro Watanabe,male,A
Shinsuke Mori,male,A
Tatsuya Kawahara,female,A
Ariya Rastrow,female,A
Mark Dredze,male,W_NL
Sanjeev Khudanpur,male,A
Micha Elsner,female,W_NL
Sharon Goldwater,female,W_NL
Jacob Eisenstein,male,W_NL
Hao Tang,male,A
Joseph Keshet,male,W_NL
Karen Livescu,female,W_NL
Matthieu Constant,male,B_NL
Anthony Sigogne,male,B_NL
Patrick Watrin,male,W_NL
Wenliang Chen,male,A
Min Zhang,male,A
Haizhou Li,male,A
Shay B. Cohen,female,W_NL
Karl Stratos,male,W_NL
Michael Collins,male,W_NL
Dean P. Foster,male,W_NL
Lyle Ungar,male,W_NL
Weiwei Sun,female,A
Xiaojun Wan,male,A
Weiwei Sun,female,A
Hans Uszkoreit,male,W_NL
Xu Sun,male,A
Houfeng Wang,male,A
Wenjie Li,female,A
Danilo Croce,male,A
Alessandro Moschitti,male,HL
Roberto Basili,male,HL
Martha Palmer,female,B_NL
Zhi Zhong,male,A
Hwee Tou Ng,female,A
Asher Stern,male,W_NL
Roni Stern,male,W_NL
Ido Dagan,male,A
Ariel Felner,male,HL
Xiaodong He,male,A
Li Deng,female,A
Shujie Liu,female,A
Chi-Ho Li,male,A
Mu Li,male,A
Ming Zhou,male,A
Ashish Vaswani,male,A
Liang Huang,male,A
David Chiang,male,A
Arjun Mukherjee,male,A
Bing Liu,male,A
Asli Celikyilmaz,female,A
Dilek Hakkani-Tur,female,A
Arjun Mukherjee,male,A
Bing Liu,male,A
Sindhu Raghavan,male,A
Raymond Mooney,male,W_NL
Hyeonseo Ku,male,A
Polina Kuznetsova,female,W_NL
Vicente Ordonez,male,HL
Alexander Berg,male,W_NL
Tamara Berg,female,W_NL
Yejin Choi,female,A
Ioannis Konstas,male,W_NL
Mirella Lapata,female,HL
Michael Wick,male,W_NL
Sameer Singh,male,A
Andrew McCallum,male,W_NL
Mohit Bansal,male,A
Dan Klein,male,W_NL
Amjad Abu-Jbara,male,A
Pradeep Dasigi,male,A
Mona Diab,female,A
Dragomir Radev,male,W_NL
Fangtao Li,male,A
Sinno Jialin Pan,female,A
Ou Jin,female,A
Qiang Yang,male,A
Xiaoyan Zhu,male,A
Thomas Lippincott,male,W_NL
Anna Korhonen,female,W_NL
Diarmuid Ó Séaghdha,male,A
David Chen,male,A
Hiroyuki Shindo,female,A
Yusuke Miyao,male,A
Akinori Fujino,female,A
Masaaki Nagata,female,A
Fan Bu,male,A
Hang Li,female,A
Xiaoyan Zhu,male,A
Jinsong Su,male,A
Hua Wu,male,A
Haifeng Wang,male,A
Yidong Chen,male,A
Xiaodong Shi,male,A
Huailin Dong,male,A
Qun Liu,female,A
Hassan Sajjad,male,A
Alexander Fraser,male,W_NL
Helmut Schmid,male,W_NL
Arianna Bisazza,female,HL
Marcello Federico,male,HL
Bevan Jones,male,B_NL
Mark Johnson,male,B_NL
Sharon Goldwater,female,W_NL
Dominick Ng,male,A
James R. Curran,male,W_NL
Andreas Maletti,male,W_NL
Joost Engelfriet,male,A
Rui Yan,male,A
Mirella Lapata,female,HL
Xiaoming Li,male,A
Xiaohua Liu,female,A
Ming Zhou,male,A
Xiangyang Zhou,male,A
Zhongyang Fu,male,A
Furu Wei,female,A
Qiming Diao,male,A
Jing Jiang,male,A
Feida Zhu,male,A
Ee-Peng Lim,female,A
Gregory Druck,male,W_NL
Bo Pang,male,A
Zhonghua Qu,male,A
Yang Liu,male,A
Patrick Pantel,male,W_NL
Thomas Lin,male,A
Michael Gamon,male,HL
Xinfan Meng,male,A
Furu Wei,female,A
Xiaohua Liu,female,A
Ming Zhou,male,A
Ge Xu,male,A
Houfeng Wang,male,A
Wen Chan,male,A
Xiangdong Zhou,male,A
Wei Wang,male,A
Tat-Seng Chua,female,A
Claire Gardent,female,B_NL
Shashi Narayan,male,A
Geoffrey Zweig,male,W_NL
John C. Platt,male,W_NL
Christopher Meek,male,W_NL
Christopher J.C. Burges,male,B_NL
Ainur Yessenalina,female,A
Qiang Liu,male,A
Zhiheng Huang,male,A
Yi Chang,male,A
Bo Long,male,A
Jean-Francois Crespo,male,HL
Anlei Dong,female,A
Sathiya Keerthi,female,A
Su-Lin Wu,female,A
Max Whitney,male,W_NL
Anoop Sarkar,male,A
Tahira Naseem,female,A
Regina Barzilay,female,W_NL
Amir Globerson,male,A
Shomir Wilson,male,B_NL
Ivan Titov,male,HL
Alexandre Klementiev,male,W_NL
Katsuhiko Hayashi,female,A
Taro Watanabe,male,A
Masayuki Asahara,female,A
Yuji Matsumoto,male,A
Makoto Kanazawa,male,A
Sylvain Salvati,male,W_NL
Zhenghua Li,female,A
Ting Liu,female,A
Wanxiang Che,male,A
Dani Yogatama,female,A
Yanchuan Sim,male,A
Noah A. Smith,male,W_NL
Sungchul Kim,male,A
Kristina Toutanova,female,HL
Hwanjo Yu,male,A
Gözde Özbal,female,A
Carlo Strapparava,male,HL
Limin Yao,male,A
Sebastian Riedel,male,HL
Andrew McCallum,male,W_NL
Shingo Takamatsu,male,A
Issei Sato,male,A
Hiroshi Nakagawa,female,A
Rémy Kessler,male,W_NL
Xavier Tannier,male,HL
Caroline Hagège,female,W_NL
Véronique Moriceau,female,B_NL
André Bittar,male,W_NL
William Yang Wang,male,A
Elijah Mayfield,male,B_NL
Suresh Naidu,male,A
Jeremiah Dittmar,male,W_NL
Xinyan Xiao,female,A
Deyi Xiong,male,A
Min Zhang,male,A
Qun Liu,female,A
Shouxun Lin,female,A
Alessandro Moschitti,male,HL
Qi Ju,male,A
Richard Johansson,male,W_NL
Emily Pitler,female,W_NL
Seyed Abolghasem Mirroshandel,male,A
Alexis Nasr,male,HL
Joseph Le Roux,male,W_NL
Yaqin Yang,female,A
Nianwen Xue,female,A
Katja Markert,female,W_NL
Yufang Hou,female,A
Michael Strube,male,W_NL
Karin Mauge,female,W_NL
Khash Rohanimanesh,male,A
Jean-David Ruvini,male,W_NL
Alexandre Davis,male,B_NL
Adriano Veloso,male,HL
Altigran Soares,male,A
Alberto Laender,male,HL
Wagner Meira Jr.,male,W_NL
Ce Zhang,male,A
Feng Niu,male,A
Christopher Ré,male,W_NL
Jude Shavlik,male,W_NL
Wei Lu,male,A
Dan Roth,male,W_NL
Einat Minkov,male,W_NL
Luke Zettlemoyer,male,W_NL
Ingrid Falk,female,W_NL
Claire Gardent,female,B_NL
Jean-Charles Lamirel,male,W_NL
Weiwei Guo,female,A
Mona Diab,female,A
Eric Huang,male,A
Richard Socher,male,W_NL
Christopher Manning,male,W_NL
Andrew Ng,male,A
Mark Johnson,male,B_NL
Katherine Demuth,female,W_NL
Michael Frank,male,W_NL
Cristian Danescu-Niculescu-Mizil,male,HL
Justin Cheng,male,A
Jon Kleinberg,male,W_NL
Lillian Lee,female,A
Deyi Xiong,male,A
Min Zhang,male,A
Haizhou Li,male,A
Nan Yang,female,A
Mu Li,male,A
Dongdong Zhang,male,A
Nenghai Yu,male,A
Chang Liu,male,A
Hwee Tou Ng,female,A
Boxing Chen,male,A
Roland Kuhn,male,W_NL
Samuel Larkin,male,B_NL
Majid Razmara,male,A
George Foster,male,W_NL
Baskaran Sankaran,male,A
Anoop Sarkar,male,A
Yang Feng,male,A
Dongdong Zhang,male,A
Mu Li,male,A
Qun Liu,female,A
Adam Pauls,male,W_NL
Dan Klein,male,W_NL
Hiroshi Yamaguchi,female,A
Kumiko Tanaka-Ishii,female,A
Wei He,male,A
Hua Wu,male,A
Haifeng Wang,male,A
Ting Liu,female,A
Marco Guerini,male,HL
Carlo Strapparava,male,HL
Oliviero Stock,male,W_NL
Eduard Dragut,male,W_NL
Hong Wang,female,A
Clement Yu,male,A
Prasad Sistla,male,A
Weiyi Meng,male,A
Ziheng Lin,male,A
Chang Liu,male,A
Hwee Tou Ng,female,A
Min-Yen Kan,female,A
Sander Wubben,male,W_NL
Antal van den Bosch,male,W_NL
Emiel Krahmer,male,W_NL
Hyun-Je Song,female,A
Jeong-Woo Son,male,A
Tae-Gil Noh,male,A
Seong-Bae Park,female,A
Sang-Jo Lee,female,A
Fei Liu,male,A
Fuliang Weng,male,A
Xiao Jiang,male,A
Jun Hatori,male,A
Takuya Matsuzaki,female,A
Yusuke Miyao,male,A
Jun’ichi Tsujii,female,A
Qiuye Zhao,female,A
Mitch Marcus,male,B_NL
Haizhou Li,male,A
Chin-Yew Lin,male,A
Miles Osborne,male,W_NL
Gary Geunbae Lee,male,W_NL
Jong C. Park,male,A
Xiao Chen,female,A
Chunyu Kit,male,A
Reut Tsarfaty,female,A
Joakim Nivre,male,W_NL
Evelina Andersson,female,W_NL
Wanxiang Che,male,A
Valentin Spitkovsky,male,W_NL
Ting Liu,female,A
Dave Golland,male,W_NL
John DeNero,male,W_NL
Jakob Uszkoreit,male,W_NL
Nicola Cancedda,female,HL
Joern Wuebker,male,W_NL
Hermann Ney,male,W_NL
Richard Zens,male,W_NL
Junhui Li,male,A
Zhaopeng Tu,male,A
Guodong Zhou,male,A
Josef van Genabith,male,W_NL
Hong Sun,female,A
Ming Zhou,male,A
Xin Zhao,male,A
Rishan Chen,male,A
Kai Fan,male,A
Hongfei Yan,male,A
Xiaoming Li,male,A
Seokhwan Kim,male,A
Gary Geunbae Lee,male,W_NL
Enrique Alfonseca,male,HL
Katja Filippova,female,W_NL
Jean-Yves Delort,male,B_NL
Guillermo Garrido,male,HL
JinYeong Bak,male,A
Suin Kim,female,A
Alice Oh,female,A
Pradeep Dasigi,male,A
Weiwei Guo,female,A
Mona Diab,female,A
Preethi Raghavan,male,A
Albert Lai,male,A
Eric Fosler-Lussier,male,B_NL
Tony Veale,male,B_NL
Sravana Reddy,female,A
Kevin Knight,male,B_NL
Benjamin Börschinger,male,W_NL
Mark Johnson,male,B_NL
Sida Wang,female,A
Christopher Manning,male,W_NL
Sam Sahakian,male,A
Benjamin Snyder,male,W_NL
Xianchao Wu,male,A
Katsuhito Sudoh,male,A
Kevin Duh,male,A
Hajime Tsukada,male,A
Masaaki Nagata,female,A
Jonathan K. Kummerfeld,male,W_NL
Dan Klein,male,W_NL
James R. Curran,male,W_NL
Elif Yamangil,female,A
Stuart Shieber,male,W_NL
Vladimir Eidelman,male,W_NL
Jordan Boyd-Graber,male,W_NL
Philip Resnik,male,W_NL
Yashar Mehdad,male,A
Matteo Negri,male,HL
Marcello Federico,male,HL
Lea Frermann,female,W_NL
Francis Bond,male,W_NL
Joseph Z. Chang,male,A
Jason S. Chang,male,A
Roger Jyh-Shing Jang,male,A
Matt Garley,male,W_NL
Julia Hockenmaier,female,W_NL
Weiwei Guo,female,A
Mona Diab,female,A
Nikhil Garg,male,A
James Henderson,male,B_NL
Igor Labutov,male,W_NL
Hod Lipson,male,B_NL
Naomi Zeichner,female,W_NL
Jonathan Berant,male,W_NL
Ido Dagan,male,A
Apoorv Agarwal,male,A
Adinoyi Omuya,female,A
Aaron Harnly,male,W_NL
Owen Rambow,male,W_NL
Dong Wang,male,A
Xian Qian,male,A
Yang Liu,male,A
Song Feng,female,A
Ritwik Banerjee,male,A
Yejin Choi,female,A
Emad Mohamed,male,A
Behrang Mohit,male,A
Kemal Oflazer,male,B_NL
Luciana Benotti,female,HL
Martín Villalba,male,HL
Tessa Lau,female,A
Julián Cerruti,male,HL
Xiaobing Xue,male,A
Yu Tao,male,A
Daxin Jiang,male,A
Hang Li,female,A
Benjamin Swanson,male,W_NL
Eugene Charniak,male,W_NL
Toshikazu Tajiri,male,A
Mamoru Komachi,male,A
Yuji Matsumoto,male,A
Rafael E. Banchs,male,HL
Elena Cabrio,female,HL
Serena Villata,female,HL
Christian Chiarcos,male,HL
Kareem Darwish,male,A
Ahmed Ali,male,A
Jennifer Williams,female,B_NL
Graham Katz,male,W_NL
Joel Nothman,male,W_NL
Matthew Honnibal,male,W_NL
Ben Hachey,male,W_NL
James R. Curran,male,W_NL
Yafang Wang,female,A
Maximilian Dylla,male,W_NL
Marc Spaniol,male,W_NL
Gerhard Weikum,male,W_NL
Kuzman Ganchev,male,A
Keith Hall,male,W_NL
Ryan McDonald,male,W_NL
Slav Petrov,male,W_NL
Stephen Tyndall,male,W_NL
John Lee,male,A
Jonathan Webster,male,W_NL
Nathan Schneider,male,W_NL
Behrang Mohit,male,A
Kemal Oflazer,male,B_NL
Noah A. Smith,male,W_NL
Rada Mihalcea,female,HL
Vivi Nastase,female,A
Yanir Seroussi,male,HL
Fabian Bohnert,male,HL
Ingrid Zukerman,female,W_NL
Pei Yang,male,A
Wei Gao,male,A
Qi Tan,male,A
Kam-Fai Wong,male,A
Yuening Hu,male,A
Jordan Boyd-Graber,male,W_NL
Jingbo Zhu,male,A
Tong Xiao,male,A
Chunliang Zhang,male,A
Ning Xi,male,A
Guangchao Tang,male,A
Xinyu Dai,female,A
Shujian Huang,male,A
Jiajun Chen,male,A
Seung-Wook Lee,male,A
Dongdong Zhang,male,A
Mu Li,male,A
Ming Zhou,male,A
Hae-Chang Rim,female,A
Andrea Gesmundo,female,HL
Giorgio Satta,male,HL
James Henderson,male,B_NL
Preslav Nakov,male,A
Jörg Tiedemann,male,W_NL
Darcey Riley,female,B_NL
Daniel Gildea,male,W_NL
Isao Goto,male,A
Masao Utiyama,male,A
Eiichiro Sumita,male,A
Hui Zhang,male,A
David Chiang,male,A
David Stallard,male,W_NL
Jacob Devlin,male,W_NL
Michael Kayser,male,W_NL
Yoong Keok Lee,female,A
Regina Barzilay,female,W_NL
Hongsuck Seo,male,A
Jonghoon Lee,male,A
Seokhwan Kim,male,A
Kyusong Lee,female,A
Sechun Kang,male,A
Gary Geunbae Lee,male,W_NL
Lei Fang,female,A
Minlie Huang,female,A
Zhaopeng Tu,male,A
Yifan He,male,A
Jennifer Foster,female,W_NL
Josef van Genabith,male,W_NL
Qun Liu,female,A
Shouxun Lin,female,A
Tsung-Ting Kuo,female,A
San-Chuan Hung,male,A
Wei-Shih Lin,male,A
Nanyun Peng,male,A
Shou-De Lin,female,A
Wei-Fen Lin,male,A
Katsumasa Yoshikawa,female,A
Ryu Iida,male,A
Tsutomu Hirao,female,A
Manabu Okumura,male,A
Pierre-Etienne Genest,male,W_NL
Guy Lapalme,male,W_NL
Karolina Owczarzak,female,W_NL
Peter A. Rankel,male,W_NL
Hoa Trang Dang,female,A
John M. Conroy,male,W_NL
Jinho D. Choi,male,A
Martha Palmer,female,B_NL
Andrea Gesmundo,female,HL
Tanja Samardžić,female,W_NL
Yukino Baba,female,A
Hisami Suzuki,female,A
Rebecca Dridan,female,W_NL
Stephan Oepen,male,W_NL
Pierre Magistry,male,B_NL
Benoît Sagot,male,A
Kenji Imamura,male,A
Kuniko Saito,female,A
Kugatsu Sadamitsu,female,A
Hitoshi Nishikawa,female,A
Min Zhang,male,A
Wei-Jie Huang,female,A
Chia-Ru Chou,female,A
Yu-Lin Tzeng,female,A
Chia-Ying Lee,female,A
Chao-Lin Liu,female,A
Tony Veale,male,B_NL
Guofu Li,male,A
Xiaohua Liu,female,A
Furu Wei,female,A
Ming Zhou,male,A
QuickView Team Microsoft,male,B_NL
Tong Xiao,male,A
Jingbo Zhu,male,A
Hao Zhang,male,A
Qiang Li,male,A
Marco Lui,male,A
Timothy Baldwin,male,W_NL
Ai Ti Aw,female,A
Lian Hau Lee,male,A
Rafael E. Banchs,male,HL
Haizhou Li,male,A
Andrejs Vasiļjevs,male,HL
Raivis Skadiņš,male,B_NL
Jörg Tiedemann,male,W_NL
Srinivasan Janarthanam,male,A
Oliver Lemon,male,B_NL
Xingkun Liu,male,A
Ming-Hong Bai,female,A
Yu-Ming Hsieh,male,A
Keh-Jiann Chen,female,A
Jason S. Chang,male,A
Brian Roark,male,W_NL
Richard Sproat,male,W_NL
Cyril Allauzen,male,B_NL
Michael Riley,male,W_NL
Jeffrey Sorensen,male,W_NL
Terry Tai,male,A
Roberto Navigli,male,HL
Simone Paolo Ponzetto,male,A
Asher Stern,male,W_NL
Ido Dagan,male,A
Meni Adler,female,W_NL
Jonathan Berant,male,W_NL
Ido Dagan,male,A
Richard Eckart de Castilho,male,W_NL
Sabine Bartsch,female,W_NL
Iryna Gurevych,female,W_NL
Mārcis Pinnis,male,B_NL
Radu Ion,male,A
Dan Ştefănescu,male,W_NL
Fangzhong Su,male,A
Inguna Skadiņa,female,HL
Andrejs Vasiļjevs,male,HL
Bogdan Babych,male,W_NL
Lun-Wei Ku,female,A
Cheng-Wei Sun,female,A
Ya-Hsin Hsueh,female,A
Timo Baumann,male,W_NL
David Schlangen,male,W_NL
Yunyao Li,male,A
Laura Chiticariu,female,A
Huahai Yang,male,A
Frederick Reiss,male,W_NL
Arnaldo Carreno-fuentes,male,HL
Hao Wang,male,A
Dogan Can,male,A
Abe Kazemzadeh,male,A
François Bar,male,B_NL
Shrikanth Narayanan,male,A
Rafal Rak,male,W_NL
BalaKrishna Kolluru,male,A
Sophia Ananiadou,female,A
Xianchao Wu,male,A
Takuya Matsuzaki,female,A
Jun’ichi Tsujii,female,A
Amjad Abu-Jbara,male,A
Dragomir Radev,male,W_NL
Meritxell Gonzàlez,female,HL
Jesús Giménez,male,HL
Lluís Màrquez,male,HL
Wan-Yu Lin,female,A
Nanyun Peng,male,A
Chun-Chao Yen,male,A
Shou-de Lin,female,A
Gerard de Melo,male,HL
Gerhard Weikum,male,W_NL
Mei-Hua Chen,female,A
Shih-Ting Huang,female,A
Hung-Ting Hsieh,female,A
Ting-Hui Kao,female,A
Jason S. Chang,male,A
Wen-Tai Hsieh,female,A
Chen-Ming Wu,male,A
Tsun Ku,male,A
Seng-cho T. Chou,male,A
Yuri Lin,female,A
Jean-Baptiste Michel,male,B_NL
Erez Aiden Lieberman,male,W_NL
Jon Orwant,male,W_NL
Will Brockman,male,W_NL
Slav Petrov,male,W_NL
Michael Strube,male,W_NL
Inderjeet Mani,male,A
James Pustejovsky,male,W_NL
Alessandro Moschitti,male,HL
Eric Xing,male,A
Rada Mihalcea,female,HL
Carmen Banea,female,HL
Janyce Wiebe,female,W_NL
Richard Socher,male,W_NL
Yoshua Bengio,male,HL
Christopher D. Manning,male,W_NL
Amar Subramanya,male,A
Partha Pratim Talukdar,male,A
Rafael E. Banchs,male,HL
Dragomir Radev,male,W_NL
Amjad Abu-Jbara,male,A
Ashton Anderson,male,B_NL
Dan Jurafsky,male,W_NL
Daniel A. McFarland,male,W_NL
Yanchuan Sim,male,A
Noah A. Smith,male,W_NL
David A. Smith,male,W_NL
Adam Vogel,male,W_NL
Dan Jurafsky,male,W_NL
Bonnie Webber,female,W_NL
Aravind Joshi,male,A
Melanie Reiplinger,female,W_NL
Ulrich Schäfer,male,W_NL
Magdalena Wolska,female,HL
Vidas Daudaravičius,male,B_NL
Parth Gupta,male,A
Paolo Rosso,male,HL
Praveen Bysani,male,A
Min-Yen Kan,female,A
Ulrich Schäfer,male,W_NL
Jonathon Read,male,W_NL
Stephan Oepen,male,W_NL
Øyvind Raddum Berg,male,W_NL
Stephan Oepen,male,W_NL
Jonathon Read,male,W_NL
Ulrich Schäfer,male,W_NL
Benjamin Weitz,male,W_NL
Huy Do Hoang Nhat,male,A
Praveen Bysani,male,A
Jackie C. K. Cheung,male,A
Jun Hatori,male,A
Carlos Henriquez,male,HL
Ann Irvine,female,W_NL
Carlos Ramisch,male,HL
Vitor De Araujo,male,HL
Aline Villavicencio,female,HL
Vinodkumar Prabhakaran,male,A
Chunyong Luo,male,A
Yangsheng Ji,male,A
Xinyu Dai,female,A
Jiajun Chen,male,A
Dieu-Thu Le,male,A
Raffaella Bernardi,female,HL
Keith Stevens,male,W_NL
Kayo Tatsukawa,female,A
Martin Riedl,male,W_NL
Chris Biemann,male,W_NL
Raphael Cohen,male,B_NL
