Name,Gender,Race
Kentaro Inui,male,A
Jing Jiang,male,A
Vincent Ng,male,A
Xiaojun Wan,male,A
Carolin Lawrence,female,W_NL
Bhushan Kotnis,male,A
Mathias Niepert,male,W_NL
Sarah Wiegreffe,female,W_NL
Yuval Pinter,male,W_NL
David Lowell,male,W_NL
Zachary C. Lipton,male,W_NL
Byron C. Wallace,male,B_NL
Matan Ben Noach,male,A
Yoav Goldberg,male,W_NL
Matthew E. Peters,male,W_NL
Mark Neumann,male,W_NL
Robert Logan,male,W_NL
Roy Schwartz,male,W_NL
Vidur Joshi,male,A
Sameer Singh,male,A
Noah A. Smith,male,W_NL
Kawin Ethayarajh,male,A
Philippa Shoemark,female,B_NL
Farhana Ferdousi Liza,female,A
Dong Nguyen,male,A
Scott Hale,male,B_NL
Barbara McGillivray,female,W_NL
Vitalii Zhelezniak,male,A
April Shen,female,A
Daniel Busbridge,male,W_NL
Aleksandar Savkov,male,A
Nils Hammerla,male,W_NL
Rocco Tripodi,male,W_NL
Roberto Navigli,male,HL
Ryuichi Takanobu,female,A
Hanlin Zhu,male,A
Minlie Huang,female,A
Chunyuan Yuan,male,A
Wei Zhou,male,A
Mingming Li,male,A
Shangwen Lv,male,A
Fuqing Zhu,female,A
Jizhong Han,male,A
Songlin Hu,male,A
Zhaojiang Lin,male,A
Andrea Madotto,female,HL
Jamin Shin,male,A
Peng Xu,male,A
Pascale Fung,female,A
Libo Qin,male,A
Yijia Liu,female,A
Wanxiang Che,male,A
Haoyang Wen,male,A
Yangming Li,male,A
Ting Liu,female,A
Mingyang Zhou,male,A
Josh Arnold,male,W_NL
Zhou Yu,male,A
Deepanway Ghosal,male,A
Navonil Majumder,male,A
Soujanya Poria,female,A
Niyati Chhaya,female,A
Alexander Gelbukh,male,A
Peixiang Zhong,male,A
Di Wang,female,A
Chunyan Miao,male,A
Yang Yang,male,A
Deyu Zhou,male,A
Yulan He,female,A
Meng Zhang,male,A
Jianmo Ni,male,A
Jiacheng Li,male,A
Julian McAuley,male,W_NL
Kaisong Song,male,A
Lidong Bing,male,A
Wei Gao,male,A
Jun Lin,male,A
Lujun Zhao,male,A
Jiancheng Wang,male,A
Changlong Sun,male,A
Xiaozhong Liu,male,A
Qiong Zhang,female,A
Linfeng Song,male,A
Yue Zhang,female,A
Daniel Gildea,male,W_NL
Mo Yu,male,A
Zhiguo Wang,male,A
Jinsong Su,male,A
Ruidong Wu,male,A
Yuan Yao,male,A
Xu Han,male,A
Ruobing Xie,female,A
Zhiyuan Liu,male,A
Fen Lin,male,A
Leyu Lin,male,A
Maosong Sun,male,A
Pengfei Li,male,A
Kezhi Mao,female,A
Xuefeng Yang,male,A
Qi Li,male,A
Yuting Wu,female,A
Xiao Liu,female,A
Yansong Feng,male,A
Zheng Wang,male,A
Dongyan Zhao,male,A
Zihao Wang,male,A
Kwunping Lai,female,A
Piji Li,female,A
Lidong Bing,male,A
Wai Lam,male,A
Yixin Cao,male,A
Zikun Hu,male,A
Tat-seng Chua,female,A
Zhiyuan Liu,male,A
Heng Ji,male,A
Xiyuan Yang,male,A
Xiaotao Gu,male,A
Sheng Lin,female,A
Siliang Tang,male,A
Yueting Zhuang,female,A
Fei Wu,male,A
Zhigang Chen,male,A
Guoping Hu,male,A
Xiang Ren,male,A
Rui Wang,male,A
Deyu Zhou,male,A
Yulan He,female,A
Lingyong Yan,male,A
Xianpei Han,male,A
Le Sun,female,A
Ben He,male,A
Tianwen Jiang,male,A
Tong Zhao,male,A
Bing Qin,male,A
Ting Liu,female,A
Nitesh Chawla,male,A
Meng Jiang,male,A
Ananya Subburathinam,female,A
Di Lu,female,A
Heng Ji,male,A
Jonathan May,male,W_NL
Shih-Fu Chang,female,A
Avirup Sil,male,A
Clare Voss,female,W_NL
Junfan Chen,male,A
Richong Zhang,male,A
Yongyi Mao,male,A
Hongyu Guo,female,A
Jie Xu,male,A
Shun Zheng,male,A
Wei Cao,male,A
Wei Xu,male,A
Jiang Bian,male,A
Ning Ding,male,A
Ziran Li,male,A
Zhiyuan Liu,male,A
Haitao Zheng,male,A
Zibo Lin,male,A
Changmeng Zheng,male,A
Yi Cai,male,A
Jingyun Xu,female,A
Ho-fung Leung,male,A
Guandong Xu,male,A
Xiangrong Zeng,male,A
Shizhu He,female,A
Daojian Zeng,male,A
Kang Liu,female,A
Shengping Liu,male,A
Jun Zhao,male,A
Swapnil Gupta,male,A
Sreyash Kenkre,male,A
Partha Talukdar,male,A
Yuyun Huang,female,A
Jinhua Du,female,A
Jian Ni,male,A
Radu Florian,male,A
Xiang Deng,male,A
Huan Sun,male,A
Mingda Chen,female,A
Zewei Chu,female,A
Yang Chen,male,A
Karl Stratos,male,W_NL
Kevin Gimpel,male,W_NL
Rujun Han,male,A
Qiang Ning,male,A
Nanyun Peng,male,A
Yuning Mao,male,A
Jingjing Tian,male,A
Jiawei Han,male,A
Xiang Ren,male,A
Chunning Du,male,A
Haifeng Sun,male,A
Jingyu Wang,female,A
Qi Qi,male,A
Jianxin Liao,male,A
Chun Wang,male,A
Bing Ma,male,A
Lin Xiao,female,A
Xin Huang,female,A
Boli Chen,male,A
Liping Jing,female,A
Shengli Sun,female,A
Qingfeng Sun,male,A
Kevin Zhou,male,A
Tengchao Lv,male,A
Vivian Lai,female,A
Zheng Cai,male,A
Chenhao Tan,male,A
Guocheng Niu,male,A
Hengru Xu,male,A
Bolei He,male,A
Xinyan Xiao,female,A
Hua Wu,male,A
Sheng Gao,female,A
Xiaoan Ding,male,A
Kevin Gimpel,male,W_NL
Omer Anjum,male,A
Hongyu Gong,female,A
Suma Bhat,female,A
Wen-Mei Hwu,female,A
