Name,Gender,Race
Marilyn Walker,female,B_NL
Heng Ji,male,A
Amanda Stent,female,W_NL
Zhenghui Wang,male,A
Yanru Qu,female,A
Liheng Chen,male,A
Jian Shen,male,A
Weinan Zhang,male,A
Shaodian Zhang,male,A
Yimei Gao,female,A
Gen Gu,male,A
Ken Chen,male,A
Yong Yu,male,A
Peng Xu,male,A
Denilson Barbosa,male,HL
Pankaj Gupta,male,A
Benjamin Roth,male,W_NL
Hinrich Schütze,male,W_NL
Ryan Cotterell,male,W_NL
Jason Eisner,male,W_NL
Katharina Kann,female,A
Jesus Manuel Mager Hois,male,HL
Ivan Vladimir Meza-Ruiz,male,HL
Hinrich Schütze,male,W_NL
Peyman Passban,male,A
Qun Liu,female,A
Andy Way,male,A
Trang Tran,female,A
Shubham Toshniwal,male,A
Mohit Bansal,male,A
Kevin Gimpel,male,W_NL
Karen Livescu,female,W_NL
Mari Ostendorf,female,W_NL
Antonios Anastasopoulos,male,W_NL
David Chiang,male,A
Jon Gillick,male,W_NL
David Bamman,male,W_NL
Yohan Jo,male,A
Shivani Poddar,female,A
Byungsoo Jeon,male,A
Qinlan Shen,male,A
Carolyn Rosé,female,W_NL
Graham Neubig,male,W_NL
Ramon Ziai,male,HL
Detmar Meurers,male,B_NL
Sudha Rao,female,A
Joel Tetreault,male,W_NL
Zeyu Dai,male,A
Ruihong Huang,female,A
Juraj Juraska,male,A
Panagiotis Karagiannis,male,W_NL
Kevin Bowden,male,B_NL
Marilyn Walker,female,B_NL
Kento Watanabe,male,A
Yuichiroh Matsubayashi,female,A
Satoru Fukayama,female,A
Masataka Goto,female,A
Kentaro Inui,male,A
Tomoyasu Nakano,male,A
Antoine Bosselut,male,B_NL
Asli Celikyilmaz,female,A
Xiaodong He,male,A
Jianfeng Gao,male,A
Po-Sen Huang,male,A
Yejin Choi,female,A
Yao Fu,male,A
Yansong Feng,male,A
Shuming Ma,male,A
Xu Sun,male,A
Wei Li,male,A
Sujian Li,male,A
Wenjie Li,female,A
Xuancheng Ren,male,A
Reno Kriz,male,HL
Eleni Miltsakaki,female,A
Marianna Apidianaki,female,A
Chris Callison-Burch,male,W_NL
Hady Elsahar,male,A
Christophe Gravier,male,B_NL
Frederique Laforest,female,B_NL
Evelin Amorim,female,A
Marcia Cançado,female,HL
Adriano Veloso,male,HL
Chandra Bhagavatula,female,A
Sergey Feldman,male,W_NL
Russell Power,male,W_NL
Waleed Ammar,male,A
Daniel Khashabi,male,A
Snigdha Chaturvedi,female,A
Michael Roth,male,W_NL
Shyam Upadhyay,male,A
Dan Roth,male,W_NL
Youmna Farag,female,A
Helen Yannakoudakis,female,W_NL
Ted Briscoe,male,B_NL
David Grangier,male,W_NL
Michael Auli,male,W_NL
Procheta Sen,male,A
Debasis Ganguly,male,A
Gareth Jones,male,B_NL
Marek Rei,male,A
Anders Søgaard,male,W_NL
Yiannos Stathopoulos,male,HL
Simon Baker,male,B_NL
Marek Rei,male,A
Simone Teufel,female,W_NL
Annervaz K M,male,A
Somnath Basu Roy Chowdhury,male,A
Ambedkar Dukkipati,male,A
Anne Cocos,female,W_NL
Marianna Apidianaki,female,A
Chris Callison-Burch,male,W_NL
Toan Nguyen,male,A
David Chiang,male,A
Jiatao Gu,male,A
Hany Hassan,male,A
Jacob Devlin,male,W_NL
Victor O.K. Li,male,A
Sergey Edunov,male,W_NL
Myle Ott,female,B_NL
Michael Auli,male,W_NL
David Grangier,male,W_NL
Marc’Aurelio Ranzato,male,HL
Adrian Benton,male,B_NL
Mark Dredze,male,W_NL
Xingshan Zeng,male,A
Jing Li,female,A
Lu Wang,female,A
Nicholas Beauchamp,male,W_NL
Sarah Shugars,female,W_NL
Kam-Fai Wong,male,A
Ivan Habernal,male,HL
Henning Wachsmuth,male,A
Iryna Gurevych,female,W_NL
Benno Stein,male,W_NL
Yu-Siang Wang,female,A
Chenxi Liu,female,A
Xiaohui Zeng,female,A
Alan Yuille,male,B_NL
Douwe Kiela,male,A
Alexis Conneau,male,B_NL
Allan Jabri,male,A
Maximilian Nickel,male,W_NL
Sandro Pezzelle,male,HL
Ionut-Teodor Sorodoc,male,A
Raffaella Bernardi,female,HL
Wei-Lun Chao,male,A
Hexiang Hu,female,A
Fei Sha,male,A
Fuad Issa,male,A
Marco Damonte,male,HL
Shay B. Cohen,female,W_NL
Xiaohui Yan,female,A
Yi Chang,male,A
Fabio Petroni,male,HL
Vassilis Plachouras,male,HL
Timothy Nugent,male,W_NL
Jochen L. Leidner,male,W_NL
Abhik Jana,male,W_NL
Pawan Goyal,male,A
Alex Rosenfeld,male,W_NL
Katrin Erk,female,W_NL
Haw-Shiuan Chang,male,A
Ziyun Wang,male,A
Luke Vilnis,male,W_NL
Andrew McCallum,male,W_NL
Dhivya Chinnappa,female,A
Eduardo Blanco,male,HL
Takahiro Ishihara,male,A
Katsuhiko Hayashi,female,A
Hitoshi Manabe,female,A
Masashi Shimbo,male,A
Masaaki Nagata,female,A
Ivan Vulić,male,A
Goran Glavaš,male,W_NL
Nikola Mrkšić,male,W_NL
Anna Korhonen,female,W_NL
Matteo Pagliardini,male,A
Prakhar Gupta,male,A
Martin Jaggi,male,A
Qi Liu,male,A
Yue Zhang,female,A
Jiangming Liu,male,A
Junwen Duan,female,A
Xiao Ding,male,A
Ting Liu,female,A
Deyu Zhou,male,A
Yang Yang,male,A
Yulan He,female,A
Md Shad Akhtar,male,A
Palaash Sawant,male,A
Sukanta Sen,male,A
Asif Ekbal,male,A
Pushpak Bhattacharyya,male,A
Ana Marasović,female,HL
Anette Frank,female,W_NL
Marcin Junczys-Dowmunt,male,B_NL
Roman Grundkiewicz,male,HL
Shubha Guha,female,A
Kenneth Heafield,male,W_NL
Shyam Upadhyay,male,A
Yogarshi Vyas,male,A
Marine Carpuat,female,W_NL
Dan Roth,male,W_NL
Ziang Xie,male,A
Guillaume Genthial,male,B_NL
Stanley Xie,male,A
Andrew Ng,male,A
Dan Jurafsky,male,W_NL
Mrinmaya Sachan,female,A
Eric Xing,male,A
Alon Talmor,male,B_NL
Jonathan Berant,male,W_NL
Chao-Chun Liang,male,A
Yu-Shiang Wong,female,A
Yi-Chung Lin,male,A
Keh-Yih Su,female,A
Sabyasachi Kamila,male,A
Mohammed Hasanuzzaman,male,A
Asif Ekbal,male,A
Pushpak Bhattacharyya,male,A
Andy Way,male,A
Fatemeh Torabi Asr,female,A
Robert Zinkov,male,W_NL
Michael Jones,male,B_NL
Elior Sulem,male,W_NL
Omri Abend,male,A
Ari Rappoport,male,W_NL
Reinald Kim Amplayo,male,A
Seonjae Lim,female,A
Seung-won Hwang,male,A
Max Grusky,male,W_NL
Mor Naaman,male,A
