Dan Jurafsky
Joyce Chai
Natalie Schluter
Joel Tetreault
Lieke Gelderloos
Grzegorz Chrupała
Afra Alishahi
Alex Rinaldi
Jean Fox Tree
Snigdha Chaturvedi
Zihan Liu
Genta Indra Winata
Peng Xu
Pascale Fung
Tianyu Zhao
Divesh Lala
Tatsuya Kawahara
Yawen Ouyang
Moxin Chen
Xinyu Dai
Yinggong Zhao
Shujian Huang
Jiajun CHEN
Xiexiong Lin
Weiyu Jian
Jianshan He
Taifeng Wang
Wei Chu
Bowen Wu
MengYuan Li
Zongsheng Wang
Yifu Chen
Derek F. Wong
qihang feng
Junhong Huang
Baoxun Wang
Alex Boyd
Raul Puri
Mohammad Shoeybi
Mostofa Patwary
Bryan Catanzaro
Siqi Bao
Huang He
Fan Wang
Hua Wu
Haifeng Wang
Yangming Li
Kaisheng Yao
Libo Qin
Wanxiang Che
Xiaolong Li
Ting Liu
Samuel Coope
Tyler Farghly
Daniela Gerz
Ivan Vulić
Matthew Henderson
Giovanni Campagna
Agata Foryciarz
Mehrad Moradshahi
Monica Lam
Shyh-Shiun Hung
Hen-Hsen Huang
Hsin-Hsi Chen
Ruifang He
Jian Wang
Fengyu Guo
Yugui Han
Yi Ren
Jinglin Liu
Xu Tan
Zhou Zhao
sheng zhao
Tie-Yan Liu
Ashish V. Thapliyal
Radu Soricut
Hayate Iso
Chao Qiao
Hang Li
Zhiyu Chen
Harini Eavani
Wenhu Chen
Yinyin Liu
William Yang Wang
Ashutosh Baheti
Alan Ritter
Kevin Small
Dong Bok Lee
Seanie Lee
Woo Tae Jeong
Donghwan Kim
Sung Ju Hwang
Zi Chai
Xiaojun Wan
Tanya Goyal
Greg Durrett
Yu Duan
Canwen Xu
Jiaxin Pei
Jialong Han
Chenliang Li
Yi Liao
Xin Jiang
Qun Liu
Yi Tay
Dara Bahri
Che Zheng
Clifford Brunk
Donald Metzler
Andrew Tomkins
Qian Yu
Lidong Bing
Qiong Zhang
Wai Lam
Luo Si
Ruichu Cai
Zhihao Liang
Boyan Xu
zijian li
Yuexing Hao
Yao Chen
